created_at,league,match,market,odds,confidence,edge,ev,tempo,pressure,momentum,risk,source,result,profit,roi
2026-07-17T01:54:27.646543+00:00,Liga MX,Necaxa vs Atlante FC,UNDER_3.5,3.2,93.86,0.12,2.0034,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,Copa Argentina,Sarmiento Junin vs Boca Juniors,OVER_0.5,3.35,86.62,0.17,1.9018,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,Friendlies Clubs,Jong AZ vs Jong Ajax,OVER_2.5,3.3,71.76,0.35,1.368,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,Friendlies Clubs,Zbrojovka Brno vs Podbrezová,OVER_1.5,2.65,79.81,0.33,1.115,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,Friendlies Clubs,Leganes vs Albacete,OVER_1.5,2.99,69.69,0.33,1.0836,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,Victoria NPL,Bentleigh Greens vs Dandenong City,OVER_1.5,2.65,77.99,0.31,1.0666,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,Super League,Navbahor vs Olmaliq,OVER_1.5,3.2,63.98,0.29,1.0474,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,Friendlies Clubs,Lincoln vs Leyton Orient,OVER_1.5,2.57,79.32,0.3,1.0385,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,WK-League,Suwon FMC W vs Hwacheon KSPO W,OVER_1.5,2.6,77.82,0.28,1.0234,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,League One,Suzhou Dongwu vs Shenzhen Juniors,OVER_1.5,2.65,75.85,0.29,1.0101,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
