pick_id,fixture_id,odds_event_id,home_team,away_team,home,away,match_date,minute,score,data,liga,league,country,mecz,match,market,signal,typ,bookmaker,odds_api_market,closing_outcome_name,kurs_buk,odds,kurs_model,kurs_bota,fair_odds,prawd_model,prawd_rynek,prawd_final,confidence,xg_probability,bayesian_probability,ensemble_probability,edge,ev,ev_percent,kelly_full,kelly_25,stage_kelly_fraction,recommended_stake,stake,home_xg,away_xg,tempo_score,tempo_level,pressure,momentum,tempo_data_verified,data_provenance,market_movement,market_direction,market_signal,clv_percent,clv_status,filter_status,filter_reason,marza_sum,marza_%,risk_level,ai_risk,risk,sharp_score,sharp_label,sharp_signals,stage_a_probability,advanced_total_xg,advanced_over25_prob,momentum_score,momentum_label,confidence_calibrated_v2,meta_probability,meta_weight_model,meta_weight_market,meta_weight_xg,meta_weight_momentum,meta_weight_sharp,dynamic_stake,ai_pick_score,best_pick,best_pick_label,status,bot_mode,bot_label
d5db4f07119fc2b13988641f,1550894,,Necaxa,Atlante FC,Necaxa,Atlante FC,2026-07-17T01:00:00+00:00,45,0-0,2026-07-17 03:50,Liga MX / Mexico,Liga MX,Mexico,Necaxa vs Atlante FC,Necaxa vs Atlante FC,UNDER_3.5,Under 3.5,Under 3.5,Superbet,totals,Under,3.2,3.2,1.02,1.07,1.07,0.9778,0.8416,0.9386,93.86,0.9777916843983416,0.9573605555009667,0.929,0.1152,2.0034,200.34,0.9106,0.05,0.9106,20.0,20.0,0.45,0.6,,NO_DATA,,,False,API_FOOTBALL_FIXTURES+API_FOOTBALL_ODDS+API_FOOTBALL_TEAM_RESULTS,0.0,STABLE,NO_SIGNAL,0,PENDING_CLV,ACCEPTED,ACCEPTED,0.3713,-62.87,TOP,LOW,LOW,0,NEUTRAL,NO_SHARP_SIGNAL,0.9385623888506767,1.05,35.0,0.0,LOW,88.46,93.88,0.3,0.2,0.2,0.15,0.15,27.6,92.34,True,TOP PICK,1H,low,PREMATCH LOW
f6e6fa7322745c9c35500e37,1540103,,Sarmiento Junin,Boca Juniors,Sarmiento Junin,Boca Juniors,2026-07-17T00:45:00+00:00,45,0-0,2026-07-17 03:50,Copa Argentina / Argentina,Copa Argentina,Argentina,Sarmiento Junin vs Boca Juniors,Sarmiento Junin vs Boca Juniors,OVER_0.5,Over 0.5,Over 0.5,Betano,totals,Over,3.35,3.35,1.1,1.15,1.15,0.91,0.7433,0.8662,86.62,0.9100498280378595,0.8850366067057437,0.8503,0.1654,1.9018,190.18,0.8093,0.05,0.8093,20.0,20.0,0.95,1.6,,NO_DATA,,,False,API_FOOTBALL_FIXTURES+API_FOOTBALL_ODDS+API_FOOTBALL_TEAM_RESULTS,0.0,STABLE,NO_SIGNAL,0,PENDING_CLV,ACCEPTED,ACCEPTED,0.4016,-59.84,TOP,LOW,LOW,0,NEUTRAL,NO_SHARP_SIGNAL,0.8662156246940205,2.55,85.0,0.0,LOW,87.22,86.35,0.3,0.2,0.2,0.15,0.15,27.6,88.25,True,TOP PICK,HT,low,PREMATCH LOW
35cea831ec2571a30461d8c0,1584864,,Jong AZ,Jong Ajax,Jong AZ,Jong Ajax,2026-07-17T10:00:00+00:00,,None-None,2026-07-17 03:51,Friendlies Clubs / World,Friendlies Clubs,World,Jong AZ vs Jong Ajax,Jong AZ vs Jong Ajax,OVER_2.5,Over 2.5,Over 2.5,Betfair,totals,Over,3.3,3.3,1.29,1.39,1.39,0.7734,0.5319,0.7176,71.76,0.7733772756930367,0.7371579183816344,0.6869,0.3491,1.368,136.8,0.5948,0.05,0.5948,20.0,20.0,2.35,1.73,,NO_DATA,,,False,API_FOOTBALL_FIXTURES+API_FOOTBALL_ODDS+API_FOOTBALL_TEAM_RESULTS,0.0,STABLE,NO_SIGNAL,0,PENDING_CLV,ACCEPTED,ACCEPTED,0.5697,-43.03,TOP,MEDIUM,MEDIUM,0,NEUTRAL,NO_SHARP_SIGNAL,0.717580542867144,4.08,97.0,0.0,LOW,78.48,70.83,0.3,0.2,0.2,0.15,0.15,23.0,73.31,True,BEST PICK,NS,low,PREMATCH LOW
31ca2a6359b0ba22291a68d2,1554985,,Zbrojovka Brno,Podbrezová,Zbrojovka Brno,Podbrezová,2026-07-17T15:00:00+00:00,,None-None,2026-07-17 03:52,Friendlies Clubs / World,Friendlies Clubs,World,Zbrojovka Brno vs Podbrezová,Zbrojovka Brno vs Podbrezová,OVER_1.5,Over 1.5,Over 1.5,Betano,totals,Over,2.65,2.65,1.16,1.25,1.25,0.8593,0.6015,0.7981,79.81,0.8593063551988993,0.8206359658288388,0.7669,0.3268,1.115,111.5,0.6757,0.05,0.6757,20.0,20.0,1.91,1.46,,NO_DATA,,,False,API_FOOTBALL_FIXTURES+API_FOOTBALL_ODDS+API_FOOTBALL_TEAM_RESULTS,0.0,STABLE,NO_SIGNAL,0,PENDING_CLV,ACCEPTED,ACCEPTED,0.6274,-37.26,TOP,LOW,LOW,0,NEUTRAL,NO_SHARP_SIGNAL,0.7980951760801871,3.37,97.0,0.0,LOW,83.69,78.94,0.3,0.2,0.2,0.15,0.15,27.6,71.79,True,BEST PICK,NS,low,PREMATCH LOW
750c1d37b5f570b5bbeb3b12,1583333,,Leganes,Albacete,Leganes,Albacete,2026-07-17T08:30:00+00:00,,None-None,2026-07-17 03:50,Friendlies Clubs / World,Friendlies Clubs,World,Leganes vs Albacete,Leganes vs Albacete,OVER_1.5,Over 1.5,Over 1.5,Marathonbet,totals,Over,2.99,2.99,1.34,1.44,1.44,0.7485,0.5246,0.6969,69.69,0.7484549692482289,0.7148830672632203,0.6683,0.3283,1.0836,108.36,0.5445,0.05,0.5445,20.0,20.0,1.05,1.57,,NO_DATA,,,False,API_FOOTBALL_FIXTURES+API_FOOTBALL_ODDS+API_FOOTBALL_TEAM_RESULTS,0.0,STABLE,NO_SIGNAL,0,PENDING_CLV,ACCEPTED,ACCEPTED,0.6375,-36.25,TOP,MEDIUM,MEDIUM,0,NEUTRAL,NO_SHARP_SIGNAL,0.6968581470842541,2.62,87.33,0.0,LOW,70.57,68.82,0.3,0.2,0.2,0.15,0.15,23.0,65.01,True,BEST PICK,NS,low,PREMATCH LOW
a2c845f27156b07c7a89fee2,1521981,,Bentleigh Greens,Dandenong City,Bentleigh Greens,Dandenong City,2026-07-17T09:30:00+00:00,,None-None,2026-07-17 03:50,Victoria NPL / Australia,Victoria NPL,Australia,Bentleigh Greens vs Dandenong City,Bentleigh Greens vs Dandenong City,OVER_1.5,Over 1.5,Over 1.5,Betano,totals,Over,2.65,2.65,1.19,1.28,1.28,0.8372,0.5954,0.7799,77.99,0.8372317193595051,0.800959938554816,0.7506,0.3098,1.0666,106.66,0.6464,0.05,0.6464,20.0,20.0,0.9,2.3,,NO_DATA,,,False,API_FOOTBALL_FIXTURES+API_FOOTBALL_ODDS+API_FOOTBALL_TEAM_RESULTS,0.0,STABLE,NO_SIGNAL,0,PENDING_CLV,ACCEPTED,ACCEPTED,0.6338,-36.62,TOP,LOW,LOW,0,NEUTRAL,NO_SHARP_SIGNAL,0.7798519569883712,3.2,97.0,0.0,LOW,81.19,77.17,0.3,0.2,0.2,0.15,0.15,27.6,69.43,True,BEST PICK,NS,low,PREMATCH LOW
1e7d6321b3572afafe43a501,1516060,,Navbahor,Olmaliq,Navbahor,Olmaliq,2026-07-17T15:00:00+00:00,,None-None,2026-07-17 03:52,Super League / Uzbekistan,Super League,Uzbekistan,Navbahor vs Olmaliq,Navbahor vs Olmaliq,OVER_1.5,Over 1.5,Over 1.5,Betfair,totals,Over,3.2,3.2,1.47,1.56,1.56,0.6823,0.4953,0.6398,63.98,0.6823047541338191,0.6542492618339355,0.6153,0.2918,1.0474,104.74,0.4761,0.05,0.4761,20.0,20.0,1.25,1.05,,NO_DATA,,,False,API_FOOTBALL_FIXTURES+API_FOOTBALL_ODDS+API_FOOTBALL_TEAM_RESULTS,0.0,STABLE,NO_SIGNAL,0,PENDING_CLV,ACCEPTED,ACCEPTED,0.631,-36.9,TOP,HIGH,HIGH,0,NEUTRAL,NO_SHARP_SIGNAL,0.6398044832837548,2.3,76.67,0.0,LOW,63.58,63.21,0.3,0.2,0.2,0.15,0.15,23.0,60.36,True,VALUE PICK,NS,low,PREMATCH LOW
a879270780de215be42e9786,1547982,,Lincoln,Leyton Orient,Lincoln,Leyton Orient,2026-07-17T15:00:00+00:00,,None-None,2026-07-17 03:52,Friendlies Clubs / World,Friendlies Clubs,World,Lincoln vs Leyton Orient,Lincoln vs Leyton Orient,OVER_1.5,Over 1.5,Over 1.5,Marathonbet,totals,Over,2.57,2.57,1.18,1.26,1.26,0.851,0.6088,0.7932,79.32,0.8509907452713105,0.8146663343938558,0.7642,0.3028,1.0385,103.85,0.6615,0.05,0.6615,20.0,20.0,1.3,2.0,,NO_DATA,,,False,API_FOOTBALL_FIXTURES+API_FOOTBALL_ODDS+API_FOOTBALL_TEAM_RESULTS,0.0,STABLE,NO_SIGNAL,0,PENDING_CLV,ACCEPTED,ACCEPTED,0.6391,-36.09,TOP,LOW,LOW,0,NEUTRAL,NO_SHARP_SIGNAL,0.793196434075699,3.3,97.0,0.0,LOW,82.92,78.52,0.3,0.2,0.2,0.15,0.15,27.6,69.58,True,BEST PICK,NS,low,PREMATCH LOW
c5f89cb01d96e2ae4769160a,1533745,,Suwon FMC W,Hwacheon KSPO W,Suwon FMC W,Hwacheon KSPO W,2026-07-17T10:00:00+00:00,,None-None,2026-07-17 03:51,WK-League / South-Korea,WK-League,South-Korea,Suwon FMC W vs Hwacheon KSPO W,Suwon FMC W vs Hwacheon KSPO W,OVER_1.5,Over 1.5,Over 1.5,Marathonbet,totals,Over,2.6,2.6,1.2,1.28,1.28,0.8323,0.6061,0.7782,77.82,0.8323401707570935,0.7983982360526204,0.7513,0.2841,1.0234,102.34,0.6396,0.05,0.6396,20.0,20.0,1.9,1.25,,NO_DATA,,,False,API_FOOTBALL_FIXTURES+API_FOOTBALL_ODDS+API_FOOTBALL_TEAM_RESULTS,0.0,STABLE,NO_SIGNAL,0,PENDING_CLV,ACCEPTED,ACCEPTED,0.6346,-36.54,TOP,LOW,LOW,0,NEUTRAL,NO_SHARP_SIGNAL,0.7782387652368342,3.15,97.0,0.0,LOW,80.82,77.09,0.3,0.2,0.2,0.15,0.15,27.6,68.06,True,BEST PICK,NS,low,PREMATCH LOW
5de1c2d63a37d4803900dd3e,1528652,,Suzhou Dongwu,Shenzhen Juniors,Suzhou Dongwu,Shenzhen Juniors,2026-07-17T11:00:00+00:00,,None-None,2026-07-17 03:51,League One / China,League One,China,Suzhou Dongwu vs Shenzhen Juniors,Suzhou Dongwu vs Shenzhen Juniors,OVER_1.5,Over 1.5,Over 1.5,Superbet,totals,Over,2.65,2.65,1.23,1.32,1.32,0.8113,0.5891,0.7585,75.85,0.8112562425634589,0.7779398992021958,0.7317,0.2875,1.0101,101.01,0.6122,0.05,0.6122,20.0,20.0,1.1,1.9,,NO_DATA,,,False,API_FOOTBALL_FIXTURES+API_FOOTBALL_ODDS+API_FOOTBALL_TEAM_RESULTS,0.0,STABLE,NO_SIGNAL,0,PENDING_CLV,ACCEPTED,ACCEPTED,0.6405,-35.95,TOP,LOW,LOW,0,NEUTRAL,NO_SHARP_SIGNAL,0.758517929441537,3.0,97.0,0.0,LOW,78.25,75.1,0.3,0.2,0.2,0.15,0.15,27.6,66.64,True,BEST PICK,NS,low,PREMATCH LOW
